transaction_id,store_id,amount,risk_type,decision,priority,human_in_loop_required,approval_status,decision_reason
TXN-1151,5,595.0,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1152,2,103.88,Normal,No Action,Low,False,Auto-Approved,
TXN-1153,1,356.5,Duplicate Transaction,Flag for Investigation,High,True,Pending Approval,Duplicate transaction detected and requires manual review.
TXN-1154,9,54.15,Normal,No Action,Low,False,Auto-Approved,
TXN-1155,2,26.91,Normal,No Action,Low,False,Auto-Approved,
TXN-1156,10,384.25,Normal,No Action,Low,False,Auto-Approved,
TXN-1157,3,486.56,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1158,7,352.23,Normal,No Action,Low,False,Auto-Approved,
TXN-1159,1,437.51,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1160,10,201.42,Normal,No Action,Low,False,Auto-Approved,
TXN-1161,7,308.49,Normal,No Action,Low,False,Auto-Approved,
TXN-1162,3,598.37,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1163,10,143.7,Normal,No Action,Low,False,Auto-Approved,
TXN-1164,7,259.93,Normal,No Action,Low,False,Auto-Approved,
TXN-1165,4,585.03,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1166,4,202.7,Normal,No Action,Low,False,Auto-Approved,
TXN-1167,2,83.49,Normal,No Action,Low,False,Auto-Approved,
TXN-1168,8,199.53,Normal,No Action,Low,False,Auto-Approved,
TXN-1169,2,168.12,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1170,4,381.5,Normal,No Action,Low,False,Auto-Approved,
TXN-1171,7,400.38,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1172,1,472.11,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1173,3,367.19,Refund Event,Compliance Review,Medium,True,Pending Approval,Refund must be verified against policy rules.
TXN-1174,5,531.27,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1175,3,34.84,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1176,3,23.58,Normal,No Action,Low,False,Auto-Approved,
TXN-1177,8,262.94,Normal,No Action,Low,False,Auto-Approved,
TXN-1178,3,505.46,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1179,2,116.52,Normal,No Action,Low,False,Auto-Approved,
TXN-1180,10,467.21,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1181,3,238.25,Normal,No Action,Low,False,Auto-Approved,
TXN-1182,4,578.47,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1183,10,172.2,Normal,No Action,Low,False,Auto-Approved,
TXN-1184,8,505.14,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1185,3,214.74,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1186,5,306.27,Normal,No Action,Low,False,Auto-Approved,
TXN-1187,3,39.71,Normal,No Action,Low,False,Auto-Approved,
TXN-1188,2,74.91,Normal,No Action,Low,False,Auto-Approved,
TXN-1189,1,14.89,Normal,No Action,Low,False,Auto-Approved,
TXN-1190,4,378.97,Normal,No Action,Low,False,Auto-Approved,
TXN-1191,3,224.45,Normal,No Action,Low,False,Auto-Approved,
TXN-1192,1,579.13,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1193,4,119.98,Normal,No Action,Low,False,Auto-Approved,
TXN-1194,10,277.67,Normal,No Action,Low,False,Auto-Approved,
TXN-1195,6,345.11,Normal,No Action,Low,False,Auto-Approved,
TXN-1196,8,435.83,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1197,3,398.11,Normal,No Action,Low,False,Auto-Approved,
TXN-1198,4,299.7,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1199,4,415.93,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1200,1,529.59,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1201,6,315.35,Normal,No Action,Low,False,Auto-Approved,
TXN-1202,1,29.22,Normal,No Action,Low,False,Auto-Approved,
TXN-1203,5,251.9,Normal,No Action,Low,False,Auto-Approved,
TXN-1204,6,162.48,Normal,No Action,Low,False,Auto-Approved,
TXN-1205,2,531.46,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1206,2,270.41,Normal,No Action,Low,False,Auto-Approved,
TXN-1207,10,192.14,Duplicate Transaction,Flag for Investigation,High,True,Pending Approval,Duplicate transaction detected and requires manual review.
TXN-1208,4,113.44,Normal,No Action,Low,False,Auto-Approved,
TXN-1209,1,21.42,Normal,No Action,Low,False,Auto-Approved,
TXN-1210,5,487.59,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1211,8,250.39,Normal,No Action,Low,False,Auto-Approved,
TXN-1212,3,101.75,Normal,No Action,Low,False,Auto-Approved,
TXN-1213,5,389.43,Normal,No Action,Low,False,Auto-Approved,
TXN-1214,1,218.62,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1215,10,365.36,Normal,No Action,Low,False,Auto-Approved,
TXN-1216,5,549.52,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1217,6,44.84,Normal,No Action,Low,False,Auto-Approved,
TXN-1218,9,300.19,Normal,No Action,Low,False,Auto-Approved,
TXN-1219,6,453.15,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1220,10,595.96,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1221,3,446.7,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1222,2,562.67,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1223,2,86.72,Normal,No Action,Low,False,Auto-Approved,
TXN-1224,7,323.5,Normal,No Action,Low,False,Auto-Approved,
TXN-1225,4,545.67,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1226,8,585.84,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1227,4,159.29,Normal,No Action,Low,False,Auto-Approved,
TXN-1228,1,34.68,Normal,No Action,Low,False,Auto-Approved,
TXN-1229,3,350.97,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1230,9,253.09,Normal,No Action,Low,False,Auto-Approved,
TXN-1231,4,457.88,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1232,5,142.69,Normal,No Action,Low,False,Auto-Approved,
TXN-1233,3,355.04,Refund Event,Compliance Review,Medium,True,Pending Approval,Refund must be verified against policy rules.
TXN-1234,4,478.18,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1235,3,47.92,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1236,2,393.46,Normal,No Action,Low,False,Auto-Approved,
TXN-1237,1,194.87,Normal,No Action,Low,False,Auto-Approved,
TXN-1238,10,250.32,Normal,No Action,Low,False,Auto-Approved,
TXN-1239,4,112.0,Normal,No Action,Low,False,Auto-Approved,
TXN-1240,10,582.89,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1241,9,165.18,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1242,7,132.62,Normal,No Action,Low,False,Auto-Approved,
TXN-1243,10,244.47,Normal,No Action,Low,False,Auto-Approved,
TXN-1244,4,303.28,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1245,4,144.38,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1246,6,392.8,Normal,No Action,Low,False,Auto-Approved,
TXN-1247,4,141.19,Normal,No Action,Low,False,Auto-Approved,
TXN-1248,4,280.82,Normal,No Action,Low,False,Auto-Approved,
TXN-1249,4,510.17,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1250,3,348.2,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1251,1,198.92,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1252,7,447.04,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1253,10,371.1,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1254,7,312.96,Normal,No Action,Low,False,Auto-Approved,
TXN-1255,1,287.8,Normal,No Action,Low,False,Auto-Approved,
TXN-1256,9,580.43,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1257,3,20.93,Normal,No Action,Low,False,Auto-Approved,
TXN-1258,3,205.22,Normal,No Action,Low,False,Auto-Approved,
TXN-1259,2,511.86,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1260,4,588.99,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1261,10,47.37,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1262,1,575.59,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1263,4,220.19,Normal,No Action,Low,False,Auto-Approved,
TXN-1264,3,37.74,Normal,No Action,Low,False,Auto-Approved,
TXN-1265,5,66.8,Normal,No Action,Low,False,Auto-Approved,
TXN-1266,5,433.28,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1267,2,416.05,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1268,5,532.14,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1269,5,514.86,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1270,2,286.82,Normal,No Action,Low,False,Auto-Approved,
TXN-1271,3,117.0,Normal,No Action,Low,False,Auto-Approved,
TXN-1272,8,245.15,Normal,No Action,Low,False,Auto-Approved,
TXN-1273,5,125.33,Normal,No Action,Low,False,Auto-Approved,
TXN-1274,4,435.12,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1275,3,387.17,Normal,No Action,Low,False,Auto-Approved,
TXN-1276,6,183.91,Normal,No Action,Low,False,Auto-Approved,
TXN-1277,6,457.24,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1278,10,210.8,Normal,No Action,Low,False,Auto-Approved,
TXN-1279,7,229.7,Normal,No Action,Low,False,Auto-Approved,
TXN-1280,2,455.13,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1281,1,251.9,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1282,1,589.49,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1283,3,228.06,Normal,No Action,Low,False,Auto-Approved,
TXN-1284,6,349.96,Normal,No Action,Low,False,Auto-Approved,
TXN-1285,3,145.91,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1286,5,226.8,Normal,No Action,Low,False,Auto-Approved,
TXN-1287,7,380.0,Normal,No Action,Low,False,Auto-Approved,
TXN-1288,1,359.83,Normal,No Action,Low,False,Auto-Approved,
TXN-1289,1,550.15,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1290,7,68.22,Normal,No Action,Low,False,Auto-Approved,
TXN-1291,4,481.32,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1292,9,368.58,Failed Payment,Retry Payment,Medium,False,Auto-Approved,Payment failed and needs retry or customer follow-up.
TXN-1293,2,402.57,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1294,1,183.78,Normal,No Action,Low,False,Auto-Approved,
TXN-1295,1,214.25,Normal,No Action,Low,False,Auto-Approved,
TXN-1296,8,374.36,Normal,No Action,Low,False,Auto-Approved,
TXN-1297,9,82.55,Normal,No Action,Low,False,Auto-Approved,
TXN-1298,8,183.05,Normal,No Action,Low,False,Auto-Approved,
TXN-1299,9,48.1,Normal,No Action,Low,False,Auto-Approved,
TXN-1300,5,173.88,Normal,No Action,Low,False,Auto-Approved,
TXN-1301,1,95.55,Normal,No Action,Low,False,Auto-Approved,
TXN-1302,6,386.3,Normal,No Action,Low,False,Auto-Approved,
TXN-1303,8,198.56,Normal,No Action,Low,False,Auto-Approved,
TXN-1304,7,135.57,Normal,No Action,Low,False,Auto-Approved,
TXN-1305,7,238.89,Normal,No Action,Low,False,Auto-Approved,
TXN-1306,4,267.59,Normal,No Action,Low,False,Auto-Approved,
TXN-1307,8,233.71,Normal,No Action,Low,False,Auto-Approved,
TXN-1308,6,510.87,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
TXN-1309,9,188.88,Normal,No Action,Low,False,Auto-Approved,
TXN-1310,8,512.04,High-Value Transaction,Require Manager Approval,High,True,Pending Approval,High-value transaction requires managerial validation.
